millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
241397,1758488626.20,-882.03,370.97,244.66,
241798,1758488626.60,-1168.38,833.58,272.41,
242199,1758488627.00,-1286.08,1076.53,269.91,
242594,1758488627.40,-1081.99,1135.95,222.46,
242993,1758488627.80,-485.90,1145.52,173.83,
243420,1758488628.20,-590.06,1047.22,229.77,
243797,1758488628.60,-280.28,318.75,700.68,
244199,1758488629.00,-85.20,-273.64,1310.36,
244601,1758488629.40,14.01,-908.50,1560.91,
244998,1758488629.80,247.04,-1448.37,1532.13,
245399,1758488630.20,96.08,-1336.46,1082.08,
245800,1758488630.60,-192.52,-737.19,570.24,
246199,1758488631.00,-311.54,-202.77,276.13,
246598,1758488631.40,-458.60,417.14,223.93,
246999,1758488631.80,-593.89,910.66,192.06,
247399,1758488632.20,-761.44,1109.83,323.29,
247798,1758488632.60,-646.21,1001.16,541.66,
248201,1758488633.00,-396.68,729.69,675.06,
248599,1758488633.40,-241.41,381.54,630.87,
248999,1758488633.80,-73.25,127.05,512.86,
249399,1758488634.20,26.12,-14.12,306.73,
249799,1758488634.60,53.29,135.14,-49.55,
250199,1758488635.00,37.40,449.55,-190.11,
250603,1758488635.40,169.86,574.45,-283.46,
251000,1758488635.80,266.59,561.74,-239.50,
251402,1758488636.20,241.38,388.89,-211.46,
251805,1758488636.60,149.23,188.02,-149.41,
252202,1758488637.00,81.36,2.45,-111.53,
252602,1758488637.40,95.30,-117.93,-120.79,
253001,1758488637.80,144.27,-135.23,-199.92,
253402,1758488638.20,159.57,-166.89,-286.05,
253821,1758488638.60,177.94,-291.52,-337.41,
254205,1758488639.00,228.76,-275.11,-411.41,
254600,1758488639.40,319.59,-260.07,-408.71,
255000,1758488639.80,531.52,-230.12,-381.76,
255401,1758488640.20,744.36,-286.04,-431.21,
255802,1758488640.60,861.38,-377.14,-431.43,
256201,1758488641.00,973.97,-428.84,-291.63,
256601,1758488641.40,988.18,-332.02,-257.63,
257003,1758488641.80,1058.60,-266.08,-273.20,
257404,1758488642.20,973.59,-339.44,-325.24,
257805,1758488642.60,673.15,-244.56,-554.33,
258203,1758488643.00,311.63,149.80,-947.54,
258599,1758488643.40,90.51,429.02,-1216.12,
258997,1758488643.80,1.58,461.04,-1398.81,
259398,1758488644.20,65.95,228.25,-1512.12,
259801,1758488644.60,-371.25,560.73,-1514.20,
260197,1758488645.00,-76.76,-93.99,-1259.39,
260605,1758488645.40,296.83,-669.35,-710.79,
261002,1758488645.80,679.83,-1085.82,-95.07,
261403,1758488646.20,939.61,-1364.56,230.38,
261803,1758488646.60,1063.20,-1162.19,415.40,
262205,1758488647.00,1042.84,-725.82,277.21,
262605,1758488647.40,632.28,-142.06,130.26,
263003,1758488647.80,128.97,333.44,107.30,
263429,1758488648.20,-301.88,727.85,250.54,
263803,1758488648.60,-650.25,866.61,401.52,
264203,1758488649.00,-787.80,747.18,443.53,
264603,1758488649.40,-843.77,802.09,459.47,
265001,1758488649.80,-710.68,549.47,378.70,
265398,1758488650.20,-595.15,384.61,295.05,
265800,1758488650.60,-525.89,340.41,259.81,
266203,1758488651.00,-403.50,148.51,266.64,
266605,1758488651.40,-498.94,-43.65,314.91,
267002,1758488651.80,-523.38,-165.80,415.68,
267401,1758488652.20,-398.60,-179.90,556.87,
267805,1758488652.60,-308.25,-254.31,660.70,
268203,1758488653.00,-231.87,-458.30,853.10,
268607,1758488653.40,-92.07,-530.69,1008.54,
269005,1758488653.80,95.71,-182.48,983.11,
269405,1758488654.20,272.23,18.69,798.36,
269807,1758488654.60,450.75,63.72,737.04,
270207,1758488655.00,428.89,-48.72,670.27,
270606,1758488655.40,291.69,-153.60,557.48,
271007,1758488655.80,201.12,-119.48,443.16,
271404,1758488656.20,73.50,-137.06,339.06,
271807,1758488656.60,116.12,-180.29,329.55,
272208,1758488657.00,5.40,-193.73,279.23,
272609,1758488657.40,-256.47,-181.77,93.83,
273008,1758488657.80,-542.62,-51.95,-201.72,
273403,1758488658.20,-628.86,5.33,-433.64,
273806,1758488658.60,-840.83,5.10,-545.82,
274202,1758488659.00,-950.52,-9.01,-658.28,
274603,1758488659.40,-761.86,-249.22,-682.06,
275003,1758488659.80,-428.02,-170.13,-627.18,
275402,1758488660.20,-272.81,-149.13,-447.08,
275806,1758488660.60,100.94,-752.17,-158.24,
276207,1758488661.00,383.71,-869.33,280.62,
276608,1758488661.40,587.06,-1054.19,266.11,
277009,1758488661.80,736.85,-875.73,76.44,
277408,1758488662.20,717.98,-359.10,-129.25,
277808,1758488662.60,517.65,238.06,-294.21,
278206,1758488663.00,129.71,919.27,-403.05,
278607,1758488663.40,-142.45,1273.55,-591.93,
279007,1758488663.80,-239.90,1208.27,-690.08,
279409,1758488664.20,-468.40,1202.29,-599.87,
279807,1758488664.60,-553.44,1159.30,-474.99,
280208,1758488665.00,-505.71,988.56,-249.19,
280607,1758488665.40,-458.15,683.63,88.00,
281008,1758488665.80,-350.29,440.98,349.12,
281410,1758488666.20,-256.58,138.32,382.39,
281806,1758488666.60,-236.55,56.40,321.11,
282211,1758488667.00,-154.07,186.10,166.99,
282609,1758488667.40,22.62,234.85,125.52,
283009,1758488667.80,210.41,251.16,145.58,
283436,1758488668.20,220.61,272.82,132.10,
283810,1758488668.60,87.97,265.62,-26.17,
284211,1758488669.00,-34.93,317.12,-259.66,
284610,1758488669.40,-208.07,330.88,-398.06,
285009,1758488669.80,-417.45,281.28,-488.91,
285416,1758488670.20,-514.08,246.56,-618.56,
285809,1758488670.60,-517.41,158.72,-736.36,
286206,1758488671.00,-581.73,78.85,-747.24,
286606,1758488671.40,-647.03,155.07,-735.34,
287005,1758488671.80,-619.50,354.40,-711.42,
287405,1758488672.20,-851.24,268.55,-666.48,
287806,1758488672.60,-707.22,21.36,-510.65,
288211,1758488673.00,-370.00,-201.94,-172.63,
288611,1758488673.40,115.87,-533.61,156.48,
289011,1758488673.80,742.09,-565.74,493.86,
289410,1758488674.20,963.76,-883.72,740.03,
289810,1758488674.60,1038.48,-1044.20,750.62,
290210,1758488675.00,1022.95,-876.20,771.41,
290611,1758488675.40,964.50,-611.65,688.19,
291011,1758488675.80,902.06,-323.65,453.64,
291410,1758488676.20,775.78,-187.85,271.06,
291810,1758488676.60,645.54,-192.82,201.62,
292214,1758488677.00,544.36,-161.97,168.73,
292610,1758488677.40,391.90,-168.97,162.07,
293010,1758488677.80,79.40,-57.58,-46.13,
293410,1758488678.20,-127.07,31.18,-204.10,
293813,1758488678.60,-244.03,-96.74,-255.59,
294205,1758488679.00,-256.05,-117.63,-322.06,
294607,1758488679.40,-320.07,-18.12,-341.45,
295007,1758488679.80,-287.27,-136.03,-260.44,
295406,1758488680.20,-283.47,-361.24,-27.80,
295808,1758488680.60,-241.81,-353.51,155.42,
296210,1758488681.00,57.57,-570.60,361.15,
